"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25569","10. Logout Functionality","chromium","2026-05-28","failed","2026-05-28","","auth/logout.spec.js","",""
"","132","TC_PRODUCT_017 - Verify Selected Sorting Option Remains Active","chromium","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","1617","TC_PRODUCT_016 - Sort Products By Price High To Low","firefox","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","2029","2.Registration with Empty Fields","firefox","2026-05-28","passed","2026-05-28","","auth/registration.spec.js","",""
"","376","TC_PRODUCT_014 - Sort Products By Name Z-A","webkit","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","142","TC_PRODUCT_023 - Verify Products Are Visible","chromium","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
"","9906","6. Successful Registration","firefox","2026-05-28","passed","2026-05-28","","auth/registration.spec.js","",""
"","365","TC_PRODUCT_025 - Verify Product Titles Are Visible","webkit","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
"","1844","13. Empty Confirm Password","webkit","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","36693","9. Successful Login","firefox","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","8190","8. Login with Empty Fields","firefox","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","2926","TC_PRODUCT_002 - Search Non Existing Product","firefox","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","852","12. Password Minimum Length Validation","chromium","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","1930","16. Verify Password Field Is Hidden","firefox","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","1480","18. Remember Me Checkbox Visible","webkit","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","26549","10. Logout Functionality","webkit","2026-05-28","failed","2026-05-28","","auth/logout.spec.js","",""
"","743","18. Remember Me Checkbox Visible","chromium","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","736","19. Logout Without Active Session","chromium","2026-05-28","passed","2026-05-28","","auth/logout.spec.js","",""
"","159","TC_PRODUCT_001 - Search Existing Product","chromium","2026-05-28","failed","2026-05-28","Product Search Tests","product/search.spec.js","",""
"","395","TC_PRODUCT_015 - Sort Products By Price Low To High","webkit","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","1061","Registration with Invalid Email","webkit","2026-05-28","passed","2026-05-28","","auth/registration.spec.js","",""
"","1491","TC_PRODUCT_001 - Search Existing Product","webkit","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","899","14. Login With Invalid Email Format","chromium","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","1950","17. Forgot Password Invalid Email","webkit","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
